SHCODE,World Bank Code,COUNTRY NAME
1,DZA,Algeria
2,AGO,Angola
3,BEN,Benin
4,BWA,Botswana
5,HVO,Burkina Faso
6,BDI,Burundi
7,CMR,Cameroon
8,CPV,Cape Verde
9,CAF,Central African Rep.
10,TCD,Chad
11,COM,Comoros
12,COG,Congo
13,EGY,Egypt
14,ETH,Ethiopia
15,GAB,Gabon
16,GMB,Gambia
17,GHA,Ghana
18,GIN,Guinea
19,GNB,Guinea-Bissau
20,CIV,Cote d'Ivoire
21,KEN,Kenya
22,LSO,Lesotho
23,LBR,Liberia
24,MDG,Madagascar
25,MWI,Malawi
26,MLI,Mali
27,MRT,Mauritania
28,MUS,Mauritius
29,MAR,Morocco
30,MOZ,Mozambique
31,NER,Niger
32,NGA,Nigeria
33,RWA,Rwanda
34,SEN,Senegal
35,SYC,Seychelles
36,SLE,Sierra Leone
37,SOM,Somalia
38,ZAF,South Africa
39,SDN,Sudan
40,SWZ,Swaziland
41,TZA,Tanzania
42,TGO,Togo
43,TUN,Tunisia
44,UGA,Uganda
45,ZAR,Zaire
46,ZMB,Zambia
47,ZWE,Zimbabwe
48,BHS,"Bahamas, The"
49,BRB,Barbados
50,CAN,Canada
51,CRI,Costa Rica
52,DMA,Dominica
53,DOM,Dominican Rep.
54,SLV,El Salvador
55,GRD,Grenada
56,GTM,Guatemala
57,HTI,Haiti
58,HND,Honduras
59,JAM,Jamaica
60,MEX,Mexico
61,NIC,Nicaragua
62,PAN,Panama
63,LCA,St. Lucia
64,VCT,St. Vincent & Grens.
65,TTO,Trinidad & Tobago
66,USA,United States
67,ARG,Argentina
68,BOL,Bolivia
69,BRA,Brazil
70,CHL,Chile
71,COL,Colombia
72,ECU,Ecuador
73,GUY,Guyana
74,PRY,Paraguay
75,PER,Peru
76,SUR,Suriname
77,URY,Uruguay
78,VEN,Venezuela
79,AFG,Afghanistan
80,BHR,Bahrain
81,BGD,Bangladesh
82,BUR,Myanmar (Burma)
83,CHN,China
84,HKG,Hong Kong
85,IND,India
86,IDN,Indonesia
87,IRN,"Iran, I.R. of"
88,IRQ,Iraq
89,ISR,Israel
90,JPN,Japan
91,JOR,Jordan
92,KOR,Korea
93,KWT,Kuwait
94,MYS,Malaysia
95,NPL,Nepal
96,OMN,Oman
97,PAK,Pakistan
98,PHL,Philippines
99,SAU,Saudi Arabia
100,SGP,Singapore
101,LKA,Sri Lanka
102,SYR,Syria
103,OAN,Taiwan
104,THA,Thailand
105,ARE,United Arab Emirates
106,YEM,"Yemen, N. Arab"
107,AUT,Austria
108,BEL,Belgium
109,CYP,Cyprus
110,DNK,Denmark
111,FIN,Finland
112,FRA,France
113,DEU,"Germany, West"
114,GRC,Greece
115,HUN,Hungary
116,ISL,Iceland
117,IRL,Ireland
118,ITA,Italy
119,LUX,Luxembourg
120,MLT,Malta
121,NLD,Netherlands
122,NOR,Norway
123,POL,Poland
124,PRT,Portugal
125,ESP,Spain
126,SWE,Sweden
127,CHE,Switzerland
128,TUR,Turkey
129,GBR,United Kingdom
130,YUG,Yugoslavia
131,AUS,Australia
132,FJI,Fiji
133,NZL,New Zealand
134,PNG,Papua New Guinea
135,SLB,Solomon Islands
136,TON,Tonga
137,VUT,Vanuatu
138,WSM,Western Samoa
140,LBY,Libya
141,NAM,Namibia
142,,Reunion
143,BLZ,Belize
144,BRN,Brunei
145,,Antigua & Barbados
146,KNA,St. Kitts & Nevis
150,BGR,Bulgaria
151,CSK,Czechoslovakia
152,DDR,"Germany, East"
153,ROM,Romania
154,,U.S.S.R.
155,,Cuba
156,ALB,Albania
