SHCODE,COUNTRY,M_64_13,M_64_FS,M_8283_13,M_8283_FS,M_88_13,M_9091_10,M_9091_14,M_9398_13,S_7072_10,S_7072_14,S_7072_FS,S_84_10,S_84_13,S_84_FS,S_88_13,S_9091_9,S_9091_13,S_9398_13,R_7072_13,R_9091_9,R_9091_13
4,Botswana,,,,,,,,,,,,,,,,,,,,,33.0
25,Malawi,,,,,,,,,,,,,,,,,,,34.0,,
30,Mozambique,,,,,,,28.3,,,,,,,,,,,,,,
32,Nigeria,,,33.4,,,,,,,,,,,,,,,,,,40.1
38,South Africa,,,,,,,,34.8,,,,,,,,,,31.7,,,
40,Swaziland,,,33.9,,,,,,,,,,,,,,,,,,
47,Zimbabwe,,,,,,,,,,,,,,,,,,,,,37.2
50,Canada,,,50.9,41.6,52.3,59.9,62.0,49.4,,,,57.1,62.0,40.8,50.6,62.8,68.8,49.9,,50.0,52.2
65,Trinidad & Tobago,,,,,,,,,,,,,,,,,,,,45.1,47.9
66,United States,25.4,20.0,46.0,35.8,47.4,58.4,55.3,47.6,44.3,27.0,22.8,55.0,55.0,40.4,47.9,64.7,67.0,50.8,67.0,54.7,53.5
69,Brazil,,,,,,,34.7,,,,,,,,,,49.6,,,,
70,Chile,,,,,,,,,22.8,11.5,14.7,,,,,,,,61.0,,
71,Colombia,,,,,,,,36.9,,,,,,,,,,38.7,,,
78,Venezuela,,,,,,,,,,,,,,,,,,,,38.3,41.7
83,China,,,,,,,80.2,,,,,,,,,,67.2,,,,
84,Hong Kong,,,49.9,73.0,,,,56.4,,,,46.7,54.7,62.9,,,,49.5,,51.7,53.5
85,India,,,,,,,,,21.3,9.5,10.0,,,,,,,,53.0,,
86,Indonesia,,,,,,,,,,,,,,,,,,,,39.4,
87,"Iran, I.R. of",,,,,,,,40.1,10.3,9.8,17.0,,,,,,,43.6,39.0,,
89,Israel,46.1,52.8,45.6,46.5,,64.4,63.1,,,,,,,,,61.2,69.7,,,,
90,Japan,46.0,45.5,63.5,68.0,,,,57.1,54.3,39.0,,64.2,67.3,51.4,,,,53.1,,,
91,Jordan,,,,,,,40.4,,,,,,,,,,56.6,,,,
92,Korea,,,,,56.8,74.8,73.4,57.7,,,,64.2,60.3,,55.0,67.9,77.5,53.5,,,
98,Philippines,,,,,,,,,,,,39.6,38.3,,,,,,,,43.0
100,Singapore,,,,,,,,60.1,,,,46.7,55.0,62.6,,,,54.5,,51.5,53.4
103,Taiwan,,,,,,68.1,72.7,,,,,,,,,66.7,75.6,,,,
104,Thailand,,,42.7,31.3,,,,49.5,24.8,19.5,20.7,,55.0,,,,,49.3,,,47.7
107,Austria,,,,,,,,50.9,,,,,,,,,,51.9,,,
108,Belgium,43.4,50.1,52.8,47.0,,,,53.3,39.8,22.9,27.3,,,,,,,48.5,74.0,50.7,48.1
109,Cyprus,,,,,,,,44.6,,,,,,,,,,42.0,,48.1,49.7
110,Denmark,,,,,,,,46.5,,,,,,,,,,43.9,,47.5,52.5
111,Finland,37.7,36.7,48.2,57.3,,,,,43.8,25.6,33.0,63.8,61.7,41.0,,,,,74.0,56.9,56.0
112,France,30.0,48.4,53.5,,,,64.2,49.2,,,30.5,,,,,,68.6,45.1,,53.1,54.9
113,Germany,36.3,41.7,,,,,,48.4,37.3,29.6,44.8,,,,,,,49.9,,50.3,52.2
114,Greece,,,,,,,,44.0,,,,,,,,,,44.9,,50.4,50.9
