SHCODE,WBCTRY,COUNTRY,TEAPRI60,TEAPRI65,TEAPRI70,TEAPRI75,TEAPRI80,TEAPRI85,TEAPRI90,TEASEC60,TEASEC65,TEASEC70,TEASEC75,TEASEC80,TEASEC85,TEASEC90,GEEPRI60,GEEPRI65,GEEPRI70,GEEPRI75,GEEPRI80,GEEPRI85,GEEPRI90,GEESEC60,GEESEC65,GEESEC70,GEESEC75,GEESEC80,GEESEC85,GEESEC90,SHPUPP60,SHPUPP65,SHPUPP70,SHPUPP75,SHPUPP80,SHPUPP85,SHPUPP90,SHPUPS60,SHPUPS65,SHPUPS70,SHPUPS75,SHPUPS80,SHPUPS85,SHPUPS90,REPPRI65,REPPRI70,REPPRI75,REPPRI80,REPPRI85,REPPRI90,REPSEC70,REPSEC75,REPSEC80,REPSEC85,REPSEC90,SCHDAY,SCHTIME,SALARP60,SALARP65,SALARP70,SALARP75,SALARP80,SALARP85,SALARP90,SHSALP60,SHSALP65,SHSALP70,SHSALP75,SHSALP80,SHSALP85,SHSALP90,DROP70,DROP75,DROP80,DROP85,DROP90,CONTINENT
1,DZA,Algeria,38.2999992370606,44.2999992370606,40.0,40.9000015258789,35.2000007629394,27.7999992370605,27.7000007629395,18.2999992370605,18.6000003814697,21.1000003814697,25.8999996185303,25.0,22.2000007629395,17.1000003814697,,237.0,326.0,358.0,239.0,,370.0,,1147.0,897.0,1368.0,640.0,,876.0,,15.5,17.7999992370605,15.5,8.60000038146973,,13.3000001907349,,75.1999969482422,48.9000015258789,59.2000007629394,23.0,,31.5,,,13.0,12.0,8.0,9.0,7.0,7.0,7.0,,14.0,180.0,810.0,,10269.0,11061.0,13851.0,8225.0,,9718.0,,673.0,603.0,599.0,296.0,,350.0,31.3,28.8,23.5,9.8,10.0,Africa
2,AGO,Angola,35.4000015258789,45.2000007629394,44.4000015258789,,31.5,31.2999992370606,31.8999996185303,15.8999996185303,18.8999996185303,15.1999998092651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,33.0,,,,,,180.0,864.0,,,,,,,,,,,,,,,66.0,66.0,66.0,66.0,66.0,Africa
3,BEN,Benin,40.5,41.7000007629394,44.2999992370606,48.2999992370606,47.5,33.0,34.7000007629394,25.0,26.3999996185303,25.5,31.3999996185303,44.9000015258789,30.6000003814697,29.0,,297.0,293.0,110.0,202.0,,,,1491.0,1150.0,416.0,446.0,,,,24.7000007629395,25.7000007629395,10.5,18.2000007629395,,,,123.800003051758,101.099998474121,39.4000015258789,40.2000007629394,,,22.0,17.0,22.0,20.0,27.0,26.0,13.0,16.0,9.0,31.0,31.0,160.0,960.0,,11195.0,11020.0,4345.0,8544.0,,,,929.0,968.0,411.0,769.0,,,64.0,64.0,64.0,64.0,60.0,Africa
4,BWA,Botswana,31.5,40.0,36.5,33.0999984741211,32.2999992370606,32.0,31.7000007629394,11.6000003814697,20.1000003814697,14.6999998092651,16.6000003814697,18.3999996185303,21.6000003814697,16.6000003814697,78.0,69.0,103.0,128.0,211.0,207.0,207.0,789.0,1291.0,849.0,750.0,966.0,1436.0,,14.5,12.0,11.8000001907349,9.5,11.1999998092651,9.19999980926514,,147.100006103516,224.199996948242,97.9000015258789,55.5,51.4000015258789,63.7999992370606,,0.0,0.0,3.0,3.0,6.0,5.0,,,,1.0,1.0,190.0,912.0,2074.0,2221.0,2892.0,3532.0,4732.0,6469.0,6670.0,387.0,386.0,334.0,262.0,252.0,287.0,,50.4,18.2,26.7,10.7,20.0,Africa
5,HVO,Burkina Faso,,,,47.0999984741211,54.5,56.5,56.7000007629394,,,,19.7999992370605,25.8999996185303,,29.2999992370606,,,,145.0,104.0,84.0,,,,,765.0,469.0,295.0,,,,,33.2000007629394,22.0,16.2999992370605,,,,,174.600006103516,98.9000015258789,57.0999984741211,,18.0,,,17.0,16.0,18.0,,,14.0,14.0,19.0,198.0,,,,,6692.0,5613.0,4563.0,,,,,1528.0,1184.0,884.0,,51.0,38.3,25.1,26.2,29.0,Africa
6,BDI,Burundi,35.7000007629394,40.4000015258789,36.7000007629394,30.7999992370606,36.5999984741211,56.2000007629394,66.9000015258789,14.8999996185303,10.6999998092651,11.1999998092651,18.6000003814697,15.6999998092651,14.0,21.7999992370605,127.0,110.0,89.0,124.0,130.0,65.0,69.0,1645.0,892.0,2073.0,873.0,976.0,690.0,617.0,21.5,30.0,27.5,29.2999992370606,28.0,12.6999998092651,12.6000003814697,279.299987792969,244.399993896484,639.799987792969,206.399993896484,210.399993896484,135.399993896484,112.199996948242,,22.0,26.0,30.0,18.0,22.0,5.0,,10.0,12.0,14.0,228.0,874.0,3862.0,3953.0,2891.0,3359.0,4041.0,3543.0,4106.0,656.0,1083.0,892.0,794.0,871.0,695.0,746.0,91.4,54.4,5.7,13.3,23.0,Africa
7,CMR,Cameroon,46.7000007629394,47.2000007629394,47.7000007629394,50.5999984741211,51.5,50.7999992370606,51.0999984741211,22.3999996185303,25.2999992370605,23.7000007629395,29.8999996185303,26.2000007629395,31.0,25.8999996185303,,50.0,66.0,,75.0,95.0,79.0,,629.0,553.0,,339.0,364.0,238.0,,6.90000009536743,7.59999990463257,,5.80000019073486,6.59999990463257,6.40000009536743,,86.1999969482422,63.9000015258789,,26.6000003814697,25.3999996185303,19.3999996185303,,,25.0,30.0,29.0,29.0,11.0,11.0,19.0,19.0,11.0,190.0,1140.0,,2022.0,2703.0,,3253.0,3640.0,,,277.0,312.0,,255.0,254.0,,30.0,30.0,30.0,30.0,31.0,Africa
10,TCD,Chad,,95.1999969482422,64.9000015258789,84.8000030517578,,70.5999984741211,64.0,21.8999996185303,29.2999992370606,23.0,31.7000007629394,,37.4000015258789,38.7999992370606,,69.0,102.0,,,,36.0,,970.0,673.0,,,,175.0,,10.8999996185303,18.7999992370605,,,,9.0,,153.0,124.0,,,,43.7000007629394,,27.0,37.0,,24.0,33.0,11.0,,,19.0,20.0,234.0,1170.0,,4053.0,4851.0,,,,1665.0,,639.0,893.0,,,,416.0,22.0,22.0,22.0,22.0,29.0,Africa
11,COM,Comoros,40.5,39.7000007629394,41.7000007629394,41.9000015258789,46.2000007629394,34.7999992370606,36.5,17.0,18.7999992370605,20.2000007629395,25.0,30.7000007629394,,25.7999992370605,,,,,,,57.0,,,,,,,221.0,,,,,,,10.0,,,,,,,39.0999984741211,,,,25.0,33.0,39.0,,,11.0,23.0,33.0,198.0,,,,,,,,1949.0,,,,,,,346.0,69.0,69.0,69.0,69.0,69.0,Africa
12,COG,Congo,52.7000007629394,59.9000015258789,61.9000015258789,58.7000007629394,54.4000015258789,61.4000015258789,65.9000015258789,20.1000003814697,26.7000007629395,33.0,42.2999992370606,36.7000007629394,35.2000007629394,26.7000007629395,136.0,120.0,169.0,158.0,162.0,133.0,,995.0,774.0,888.0,460.0,274.0,,,12.8000001907349,11.6000003814697,10.6999998092651,9.69999980926514,8.89999961853027,5.19999980926514,,93.5999984741211,75.0999984741211,56.2000007629394,28.1000003814697,15.0,,,27.0,33.0,26.0,26.0,30.0,36.0,17.0,17.0,33.0,42.0,44.0,198.0,,6095.0,6588.0,9392.0,6686.0,8764.0,,,573.0,639.0,594.0,408.0,479.0,,,26.6,29.5,25.8,29.3,46.0,Africa
