"SHCODE","WBCTRY","COUNTRY","TEAPRI60","TEAPRI65","TEAPRI70","TEAPRI75","TEAPRI80","TEAPRI85","TEAPRI90","TEASEC60","TEASEC65","TEASEC70","TEASEC75","TEASEC80","TEASEC85","TEASEC90","GEEPRI60","GEEPRI65","GEEPRI70","GEEPRI75","GEEPRI80","GEEPRI85","GEEPRI90","GEESEC60","GEESEC65","GEESEC70","GEESEC75","GEESEC80","GEESEC85","GEESEC90","SHPUPP60","SHPUPP65","SHPUPP70","SHPUPP75","SHPUPP80","SHPUPP85","SHPUPP90","SHPUPS60","SHPUPS65","SHPUPS70","SHPUPS75","SHPUPS80","SHPUPS85","SHPUPS90","REPPRI65","REPPRI70","REPPRI75","REPPRI80","REPPRI85","REPPRI90","REPSEC70","REPSEC75","REPSEC80","REPSEC85","REPSEC90","SCHDAY","SCHTIME","SALARP60","SALARP65","SALARP70","SALARP75","SALARP80","SALARP85","SALARP90","SHSALP60","SHSALP65","SHSALP70","SHSALP75","SHSALP80","SHSALP85","SHSALP90","DROP70","DROP75","DROP80","DROP85","DROP90"
1,"DZA","Algeria",38.2999992370606,44.2999992370606,40,40.9000015258789,35.2000007629394,27.7999992370605,27.7000007629395,18.2999992370605,18.6000003814697,21.1000003814697,25.8999996185303,25,22.2000007629395,17.1000003814697,1.79769313486232e+308,237,326,358,239,1.79769313486232e+308,370,1.79769313486232e+308,1147,897,1368,640,1.79769313486232e+308,876,1.79769313486232e+308,15.5,17.7999992370605,15.5,8.60000038146973,1.79769313486232e+308,13.3000001907349,1.79769313486232e+308,75.1999969482422,48.9000015258789,59.2000007629394,23,1.79769313486232e+308,31.5,1.79769313486232e+308,1.79769313486232e+308,13,12,8,9,7,7,7,1.79769313486232e+308,14,180,810,1.79769313486232e+308,10269,11061,13851,8225,1.79769313486232e+308,9718,1.79769313486232e+308,673,603,599,296,1.79769313486232e+308,350,31.3,28.8,23.5,9.8,10
2,"AGO","Angola",35.4000015258789,45.2000007629394,44.4000015258789,1.79769313486232e+308,31.5,31.2999992370606,31.8999996185303,15.8999996185303,18.8999996185303,15.1999998092651,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,29,1.79769313486232e+308,33,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,180,864,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,66,66,66,66,66
3,"BEN","Benin",40.5,41.7000007629394,44.2999992370606,48.2999992370606,47.5,33,34.7000007629394,25,26.3999996185303,25.5,31.3999996185303,44.9000015258789,30.6000003814697,29,1.79769313486232e+308,297,293,110,202,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1491,1150,416,446,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,24.7000007629395,25.7000007629395,10.5,18.2000007629395,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,123.800003051758,101.099998474121,39.4000015258789,40.2000007629394,1.79769313486232e+308,1.79769313486232e+308,22,17,22,20,27,26,13,16,9,31,31,160,960,1.79769313486232e+308,11195,11020,4345,8544,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,929,968,411,769,1.79769313486232e+308,1.79769313486232e+308,64,64,64,64,60
4,"BWA","Botswana",31.5,40,36.5,33.0999984741211,32.2999992370606,32,31.7000007629394,11.6000003814697,20.1000003814697,14.6999998092651,16.6000003814697,18.3999996185303,21.6000003814697,16.6000003814697,78,69,103,128,211,207,207,789,1291,849,750,966,1436,1.79769313486232e+308,14.5,12,11.8000001907349,9.5,11.1999998092651,9.19999980926514,1.79769313486232e+308,147.100006103516,224.199996948242,97.9000015258789,55.5,51.4000015258789,63.7999992370606,1.79769313486232e+308,0,0,3,3,6,5,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,1,190,912,2074,2221,2892,3532,4732,6469,6670,387,386,334,262,252,287,1.79769313486232e+308,50.4,18.2,26.7,10.7,20
5,"HVO","Burkina Faso",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,47.0999984741211,54.5,56.5,56.7000007629394,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,19.7999992370605,25.8999996185303,1.79769313486232e+308,29.2999992370606,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,145,104,84,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,765,469,295,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,33.2000007629394,22,16.2999992370605,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,174.600006103516,98.9000015258789,57.0999984741211,1.79769313486232e+308,18,1.79769313486232e+308,1.79769313486232e+308,17,16,18,1.79769313486232e+308,1.79769313486232e+308,14,14,19,198,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,6692,5613,4563,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1528,1184,884,1.79769313486232e+308,51,38.3,25.1,26.2,29
6,"BDI","Burundi",35.7000007629394,40.4000015258789,36.7000007629394,30.7999992370606,36.5999984741211,56.2000007629394,66.9000015258789,14.8999996185303,10.6999998092651,11.1999998092651,18.6000003814697,15.6999998092651,14,21.7999992370605,127,110,89,124,130,65,69,1645,892,2073,873,976,690,617,21.5,30,27.5,29.2999992370606,28,12.6999998092651,12.6000003814697,279.299987792969,244.399993896484,639.799987792969,206.399993896484,210.399993896484,135.399993896484,112.199996948242,1.79769313486232e+308,22,26,30,18,22,5,1.79769313486232e+308,10,12,14,228,874,3862,3953,2891,3359,4041,3543,4106,656,1083,892,794,871,695,746,91.4,54.4,5.7,13.3,23
7,"CMR","Cameroon",46.7000007629394,47.2000007629394,47.7000007629394,50.5999984741211,51.5,50.7999992370606,51.0999984741211,22.3999996185303,25.2999992370605,23.7000007629395,29.8999996185303,26.2000007629395,31,25.8999996185303,1.79769313486232e+308,50,66,1.79769313486232e+308,75,95,79,1.79769313486232e+308,629,553,1.79769313486232e+308,339,364,238,1.79769313486232e+308,6.90000009536743,7.59999990463257,1.79769313486232e+308,5.80000019073486,6.59999990463257,6.40000009536743,1.79769313486232e+308,86.1999969482422,63.9000015258789,1.79769313486232e+308,26.6000003814697,25.3999996185303,19.3999996185303,1.79769313486232e+308,1.79769313486232e+308,25,30,29,29,11,11,19,19,11,190,1140,1.79769313486232e+308,2022,2703,1.79769313486232e+308,3253,3640,1.79769313486232e+308,1.79769313486232e+308,277,312,1.79769313486232e+308,255,254,1.79769313486232e+308,30,30,30,30,31
8,"CPV","Cape verde",47.5,46.5999984741211,38.2000007629394,52.0999984741211,40.0999984741211,38.7999992370606,33.4000015258789,21.3999996185303,20.8999996185303,19.7000007629395,20,18.2000007629395,23,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,29,28,19,1.79769313486232e+308,1.79769313486232e+308,23,19,20,198,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,49,49,49,49,49
9,"CAF","Central African Rep.",58.0999984741211,53.5999984741211,63.7000007629394,66.5,59.5999984741211,65.5999984741211,90.4000015258789,29.7000007629394,15.5,21.5,37.4000015258789,62.4000015258789,64.3000030517578,37.2999992370606,183,159,179,149,142,98,73,2757,1895,823,366,174,182,133,27.7999992370605,25.5,25.7999992370605,22.2999992370605,21.5,16.3999996185303,12.5,419,304.700012207031,118.400001525879,54.7000007629394,26.2999992370605,30.6000003814697,22.8999996185303,29,28,35,35,29,31,10,19,25,20,29,240,1080,8069,6632,11248,7498,7617,5193,6389,1226,1066,1618,1123,1151,871,1102,70.3,45.7,47.4,83.1,38
10,"TCD","Chad",1.79769313486232e+308,95.1999969482422,64.9000015258789,84.8000030517578,1.79769313486232e+308,70.5999984741211,64,21.8999996185303,29.2999992370606,23,31.7000007629394,1.79769313486232e+308,37.4000015258789,38.7999992370606,1.79769313486232e+308,69,102,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,36,1.79769313486232e+308,970,673,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,175,1.79769313486232e+308,10.8999996185303,18.7999992370605,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,9,1.79769313486232e+308,153,124,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,43.7000007629394,1.79769313486232e+308,27,37,1.79769313486232e+308,24,33,11,1.79769313486232e+308,1.79769313486232e+308,19,20,234,1170,1.79769313486232e+308,4053,4851,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1665,1.79769313486232e+308,639,893,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,416,22,22,22,22,29
