"SHCODE","YEAR","N0M25","PRIM25","PRICM25","SECM25","SECCM25","HIGHM25","HIGHCM25","TYRM25","PYRM25","SYRM25","HYRM25"
1,1960,76.6,20.2,5.8,2.6,1.1,0.5,0.4,1.14,0.97,0.15,0.02
1,1965,91.7,6.3,2,1.2,0.6,0.6,0.4,0.48,0.36,0.1,0.02
1,1970,70.7,24.5,8.2,4,2,0.5,0.4,1.49,1.25,0.22,0.02
1,1975,67.9,27,9.2,4,2.1,1.1,0.8,1.69,1.39,0.26,0.04
1,1980,59.9,33,11.3,5.1,2.8,2,1.4,2.21,1.76,0.38,0.07
1,1985,50.9,38.2,13.1,7,4,3.8,2.6,2.93,2.19,0.61,0.13
1,1990,41.6,42.1,14.4,10.4,6.1,5.9,4.1,3.8,2.67,0.93,0.2
3,1960,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.7,0.4,0.5,0.4,1.79769313486232e+308,1.79769313486232e+308,0.09,0.02
3,1965,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.8,0.5,0.4,0.3,1.79769313486232e+308,1.79769313486232e+308,0.09,0.01
3,1970,93.4,4.1,0.9,2,0.6,0.3,0.2,0.45,0.34,0.1,0.01
3,1975,88.7,8.5,1.9,2.4,0.8,0.3,0.2,0.67,0.55,0.11,0.01
3,1980,83.8,12.4,2.7,3.2,1.2,0.5,0.4,0.97,0.79,0.16,0.02
3,1985,79.6,14.6,3,4.9,1.5,0.9,0.7,1.3,1.02,0.25,0.03
3,1990,72.8,17.1,3.5,8.3,2,1.7,1.3,1.89,1.42,0.41,0.06
4,1960,70.8,24.8,12.9,4.2,1.1,0.4,0.3,1.83,1.64,0.17,0.02
4,1965,74.1,22.1,9.5,3.4,0.9,0.3,0.3,1.51,1.37,0.14,0.01
4,1970,74.2,21.2,3,3.4,0.9,0.9,0.7,1.34,1.15,0.16,0.03
4,1975,71.4,24.8,12.8,3.1,1.1,0.7,0.5,1.75,1.58,0.15,0.02
4,1980,58.8,34.9,10.3,5.8,1.9,0.9,0.7,2.33,2.05,0.25,0.03
4,1985,56.5,36.3,15.1,6.2,1.8,1.1,0.9,2.63,2.31,0.28,0.04
4,1990,54.6,37,17.3,6.8,1.8,1.6,1.3,2.88,2.49,0.32,0.06
7,1960,58.9,29.7,6.3,11.2,3.1,0.4,0.3,2.36,1.78,0.57,0.01
7,1965,60.9,29.6,6.3,9.3,2.6,0.4,0.2,2.15,1.66,0.48,0.01
7,1970,60.9,30.9,6.6,7.9,2.2,0.4,0.3,2.05,1.62,0.41,0.01
7,1975,57.4,34.8,7.4,7.4,2,0.5,0.3,2.15,1.74,0.39,0.02
7,1980,51.4,40.7,8.4,7.1,1.9,0.8,0.6,2.38,1.95,0.4,0.03
7,1985,46.7,44.1,8.9,8.1,2.2,1.2,0.8,2.66,2.15,0.48,0.04
7,1990,42.3,46.5,9.2,9.4,2.6,1.8,1.2,2.99,2.35,0.58,0.06
9,1960,86.2,9.7,2.2,3.4,0.9,0.5,0.4,0.8,0.59,0.2,0.02
9,1965,86.2,10.3,2.3,2.9,0.8,0.4,0.3,0.76,0.58,0.17,0.01
9,1970,85,11.8,2.7,2.7,0.7,0.3,0.3,0.78,0.62,0.15,0.01
9,1975,81.8,15.3,3.4,2.7,0.8,0.3,0.2,0.91,0.74,0.15,0.01
9,1980,75,21.2,4.6,3.3,0.9,0.4,0.3,1.2,1,0.19,0.01
9,1985,67,28,6,4.2,1.2,0.7,0.5,1.59,1.31,0.25,0.02
9,1990,61.4,31.5,6.6,6,1.6,0.9,0.7,1.95,1.56,0.36,0.03
12,1960,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,23.4,6.3,4.6,3.6,1.79769313486232e+308,1.79769313486232e+308,1.45,0.16
12,1965,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,19.3,5.2,3.9,3.1,1.79769313486232e+308,1.79769313486232e+308,1.2,0.14
12,1970,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,16.1,4.4,3.5,2.8,1.79769313486232e+308,1.79769313486232e+308,1.02,0.13
12,1975,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,14.9,4,3.6,2.8,1.79769313486232e+308,1.79769313486232e+308,0.97,0.13
12,1980,66.7,13.8,2.5,15.5,4.2,3.9,3.1,2.82,1.66,1.02,0.14
12,1985,43.9,27.8,5.6,23.4,6.3,5.1,4,4.37,2.71,1.48,0.18
12,1990,42.7,21,3.8,29.7,8,6.6,5.2,5.05,2.92,1.89,0.24
13,1960,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.6,1.4,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.06
13,1965,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2.7,2.4,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.1
13,1970,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4.1,3.6,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.15
13,1975,79.6,6.8,2.2,8.3,4.1,5.5,5,2.02,1.1,0.71,0.21
13,1980,66.1,14.8,4.5,10.8,5.4,8.4,7.6,3.03,1.73,0.99,0.32
13,1985,49.4,22.8,7.2,20.4,10.2,7.4,6.7,4.22,2.57,1.36,0.28
13,1990,42.3,25.6,8,21,10.5,11.1,10,4.97,2.93,1.61,0.42
16,1960,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4.8,1.2,0.6,0.5,1.79769313486232e+308,1.79769313486232e+308,0.3,0.02
16,1965,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4.4,1.2,0.5,0.4,1.79769313486232e+308,1.79769313486232e+308,0.28,0.02
16,1970,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4.4,1.2,0.4,0.3,1.79769313486232e+308,1.79769313486232e+308,0.27,0.01
16,1975,92.6,1.9,0.8,5.3,1.5,0.3,0.2,0.74,0.42,0.32,0.01
16,1980,88.9,4.8,1.6,6.2,1.5,0.2,0.2,0.94,0.58,0.36,0.01
16,1985,85.5,7.3,2.3,7.1,1.4,0.2,0.2,1.14,0.73,0.4,0.01
16,1990,82.7,8.8,2.7,8.4,1.4,0.2,0.1,1.32,0.86,0.46,0.01
17,1960,77.8,19.3,4.2,1.9,0.4,1.1,0.9,1.12,0.89,0.19,0.04
17,1965,73.1,22.9,5,3.1,0.7,1,0.8,1.34,1.08,0.23,0.03
17,1970,66.8,6.9,1.3,25.6,5.6,0.7,0.6,3.16,1.83,1.31,0.03
17,1975,65.1,10.9,2.1,23.2,4.3,0.9,0.7,3.03,1.83,1.17,0.03
17,1980,59,18.5,3.4,21.5,3.4,1.1,0.9,3.13,2.01,1.08,0.04
17,1985,51.9,21.1,3.9,25.7,3.6,1.3,1,3.68,2.37,1.27,0.05
17,1990,44.8,24.9,4.6,28.8,3.7,1.5,1.2,4.18,2.7,1.42,0.05
21,1960,66.8,29.8,10.8,2.9,0.5,0.4,0.3,1.82,1.65,0.15,0.01
21,1965,67.1,29.9,11.5,2.5,0.4,0.4,0.3,1.8,1.65,0.13,0.01
21,1970,64.9,29.3,13.8,5,0.5,0.7,0.6,2.19,1.91,0.25,0.03
21,1975,60.4,34,12.2,4.6,0.5,0.9,0.7,2.28,2,0.24,0.03
21,1980,43.7,41.7,14.3,13.6,1.4,1,0.8,3.64,2.98,0.63,0.03
21,1985,43,48.9,16.1,7.1,0.8,1.1,0.8,3.24,2.84,0.36,0.04
21,1990,35.6,54.2,18.6,8.9,1,1.3,1,3.76,3.26,0.45,0.05
22,1960,44.3,52.7,13.6,2.7,0.7,0.2,0.2,2.64,2.53,0.11,0.01
22,1965,49,48.3,11,2.4,0.7,0.2,0.2,2.37,2.26,0.1,0.01
22,1970,51.4,46.1,6.7,2.1,0.6,0.3,0.3,2.12,2.02,0.09,0.01
22,1975,37,54.8,8.2,8.2,2.3,0.1,0.1,2.73,2.43,0.3,0.01
22,1980,39.5,53,1.8,7.3,2,0.2,0.2,2.72,2.44,0.27,0.01
22,1985,41.5,51.1,3.1,7,1.9,0.4,0.4,2.7,2.42,0.27,0.02
22,1990,42.9,49.2,3.5,7.3,1.9,0.6,0.6,2.7,2.4,0.29,0.02
23,1960,87.9,8,4.5,2.6,0.8,1.5,1.1,0.87,0.62,0.2,0.05
23,1965,82.9,13.2,4.7,2.5,0.9,1.3,1,1,0.77,0.18,0.05
23,1970,77.6,18.7,6.7,2.4,1,1.3,0.9,1.2,0.98,0.18,0.04
23,1975,79.9,6,1.9,11.8,6,2.2,1.6,1.82,1.08,0.67,0.08
23,1980,74.1,11.9,3.5,11.8,4.6,2.3,1.7,2.02,1.31,0.63,0.08
23,1985,65.6,18.5,5.4,13.4,4.2,2.5,1.8,2.44,1.67,0.68,0.09
23,1990,57.7,23.6,7,16,4,2.8,2,2.9,2.04,0.77,0.1
25,1960,51.8,47.2,17.3,0.8,0.2,0,0,2.67,2.65,0.03,0
25,1965,55,44.1,15.5,0.7,0.2,0,0,2.47,2.44,0.02,0
25,1970,57.5,41.6,12.5,0.8,0.3,0,0,2.25,2.22,0.03,0
25,1975,40.5,55,8.1,4.3,1.7,0.3,0.3,3.07,2.89,0.16,0.01
25,1980,44.1,51.7,19.3,3.7,1.5,0.4,0.4,3.34,3.17,0.15,0.02
25,1985,36.1,55.2,12.9,8,3.6,0.9,0.9,3.8,3.44,0.33,0.03
25,1990,38.9,53.5,8.3,6.8,2.4,0.9,0.9,3.4,3.09,0.27,0.03
26,1960,93.8,5.5,1.8,0,0,0.5,0.4,0.4,0.37,0.01,0.02
26,1965,93.7,5.7,1.8,0.1,0,0.4,0.3,0.4,0.38,0.01,0.01
26,1970,93.3,6,1.7,0.3,0.1,0.3,0.2,0.42,0.4,0.01,0.01
26,1975,92.4,6.1,1.2,1,0.3,0.3,0.2,0.49,0.45,0.03,0.01
26,1980,88.5,9.5,2.2,1.5,0.4,0.5,0.4,0.76,0.7,0.04,0.02
26,1985,86.8,9.9,2.7,2.8,0.8,0.5,0.4,0.95,0.86,0.07,0.02
26,1990,84.3,11.2,3.3,3.6,1,0.8,0.6,1.17,1.05,0.09,0.03
28,1960,35.7,54.7,12.6,7.9,2.1,1.8,0.9,3,2.6,0.34,0.05
28,1965,33.6,55.5,25.2,9.4,2.7,1.5,0.7,3.5,3.08,0.38,0.05
28,1970,23.2,59.8,24.7,15,4.9,1.9,0.9,4.2,3.55,0.6,0.06
28,1975,22.2,57,26.8,18.1,6.9,2.6,1.1,4.59,3.76,0.76,0.08
28,1980,14.3,56.4,26,24.1,11,5.5,2.5,5.57,4.25,1.15,0.16
28,1985,12.9,56.5,20.6,26.1,15.2,4.5,2.1,5.54,4.15,1.26,0.13
28,1990,10.6,49.2,6.1,37.3,28.8,2.9,1.3,5.96,4.07,1.8,0.08
30,1960,90.1,8.4,1.8,1.3,0.4,0.1,0.1,0.33,0.26,0.07,0
30,1965,86.2,12.5,2.7,1.2,0.3,0.1,0.1,0.42,0.35,0.06,0
30,1970,80,18.7,4.1,1.2,0.3,0.1,0.1,0.57,0.51,0.06,0
30,1975,72.5,26.1,5.7,1.2,0.3,0.2,0.2,0.77,0.69,0.07,0.01
30,1980,67,31.5,7,1.3,0.4,0.2,0.2,0.91,0.83,0.07,0.01
30,1985,63.4,35.2,7.8,1.1,0.3,0.2,0.1,0.98,0.91,0.06,0.01
30,1990,57.9,40.8,8.9,1.1,0.3,0.2,0.1,1.11,1.04,0.06,0.01
31,1960,91.7,8.1,1.8,0.3,0.1,0,0,0.33,0.32,0.02,0
31,1965,92.8,7.1,1.6,0.3,0.1,0,0,0.29,0.28,0.01,0
31,1970,93.8,5.9,1.3,0.4,0.1,0,0,0.26,0.24,0.02,0
31,1975,83.2,15.8,3.6,0.7,0.2,0.3,0.2,0.71,0.64,0.06,0.01
31,1980,84.1,14.8,3.3,0.7,0.2,0.3,0.2,0.67,0.6,0.05,0.01
31,1985,84.2,14.3,3.1,1.1,0.3,0.3,0.3,0.7,0.61,0.08,0.01
31,1990,82.9,14.7,3.1,2,0.5,0.5,0.4,0.83,0.68,0.13,0.02
33,1960,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,3.3,0.9,0.8,0.7,1.79769313486232e+308,1.79769313486232e+308,0.17,0.03
33,1965,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2.8,0.8,0.6,0.6,1.79769313486232e+308,1.79769313486232e+308,0.15,0.02
33,1970,92.6,4.1,2.3,2.8,0.8,0.5,0.5,0.55,0.39,0.14,0.02
33,1975,79.3,17.4,5.8,2.8,0.8,0.5,0.5,1.05,0.89,0.14,0.02
33,1980,65.2,31.8,6.6,2.7,0.7,0.5,0.5,1.5,1.35,0.14,0.02
33,1985,56.2,40.6,11,2.7,0.7,0.5,0.5,1.89,1.74,0.13,0.02
33,1990,52.4,44.5,13.8,2.6,0.7,0.6,0.5,2.09,1.94,0.13,0.02
34,1960,49.3,47,9.8,2.9,0.8,0.8,0.6,2.15,1.93,0.2,0.03
34,1965,57.1,39.4,8.3,2.7,0.7,0.8,0.6,1.85,1.64,0.18,0.03
34,1970,62.7,33.7,7.1,2.6,0.7,0.9,0.7,1.67,1.44,0.19,0.03
34,1975,42.1,53.4,11,3.4,0.9,1.2,1,2.5,2.21,0.25,0.04
34,1980,46.5,47.3,9.7,4.5,1.2,1.6,1.3,2.47,2.08,0.33,0.06
34,1985,49.9,42.8,8.7,5,1.4,2.3,1.8,2.46,1.98,0.4,0.08
34,1990,52.8,38.9,7.9,5.7,1.5,2.6,2,2.45,1.9,0.46,0.09
36,1960,92.1,4.6,4,2.8,1.1,0.5,0.4,0.75,0.53,0.2,0.02
36,1965,91,5.8,3,2.7,0.9,0.5,0.4,0.74,0.53,0.19,0.02
36,1970,89.5,7.6,2.8,2.4,0.6,0.5,0.4,0.76,0.57,0.17,0.02
36,1975,86.4,10,3.3,3,0.7,0.6,0.5,0.94,0.72,0.2,0.02
36,1980,82.9,12.3,3.9,4.1,0.8,0.7,0.6,1.2,0.91,0.27,0.03
36,1985,79.1,14.5,4.7,5.6,0.9,0.8,0.6,1.5,1.12,0.35,0.03
36,1990,74.8,16.7,5.5,7.5,1.1,1,0.8,1.88,1.37,0.47,0.04
38,1960,49,23.6,13.5,27.3,6.5,0,0,4.06,3.21,0.85,0
38,1965,49.6,25.6,10.3,23.8,6,0.9,0.7,3.81,2.99,0.79,0.03
38,1970,40.4,27,5,27.9,7.4,4.3,3.5,4.64,3.38,1.1,0.16
38,1975,43.2,28.1,9.8,23.8,5.5,4.8,3.9,4.48,3.33,0.97,0.17
38,1980,25.2,40.4,15.4,32.9,6.3,1.4,1.1,5.46,4.36,1.05,0.05
38,1985,22.2,47.7,18.8,27,5,3.1,2.5,5.51,4.44,0.96,0.11
38,1990,28.2,44.7,19.4,21.4,3.7,5.7,4.5,5.26,4.14,0.91,0.2
39,1960,81.6,17.2,3.8,1.1,0.4,0.1,0.1,0.54,0.47,0.07,0
39,1965,80.1,18.7,4.1,1,0.3,0.2,0.2,0.58,0.51,0.07,0.01
39,1970,79.3,18.8,4.2,1.5,0.5,0.5,0.4,0.67,0.54,0.12,0.02
39,1975,76.2,21.1,5.1,1.9,0.8,0.8,0.6,0.83,0.63,0.17,0.03
39,1980,73.6,22.3,5.9,3,1.3,1.1,0.9,1.03,0.73,0.26,0.04
39,1985,64.3,28.4,7.7,6.1,3.1,1.3,1,1.54,1.02,0.47,0.05
39,1990,59.4,30.9,8.7,8.2,3.3,1.6,1.2,1.82,1.18,0.58,0.06
40,1960,67.6,23.9,9.1,7.8,2.6,0.8,0.6,2.27,2,0.24,0.03
40,1965,70.2,22.4,6.4,6.8,2.6,0.6,0.5,1.98,1.74,0.21,0.02
40,1970,70.5,22.7,9.9,6.3,2,0.5,0.4,2.05,1.85,0.19,0.02
40,1975,50.7,34.6,10.2,14.1,4.5,0.6,0.4,3.38,2.96,0.39,0.02
40,1980,48.3,43.5,15.5,7.2,1.6,1,0.8,3.27,3.01,0.22,0.04
40,1985,45.8,43.6,16.7,8.8,1.8,1.8,1.5,3.62,3.26,0.29,0.07
40,1990,41.9,45.2,17.6,10.4,2,2.5,2,3.98,3.55,0.35,0.09
42,1960,90.1,8.4,2.6,1.2,0.3,0.3,0.2,0.5,0.42,0.08,0.01
42,1965,86.6,11.9,3.9,1.2,0.3,0.2,0.2,0.64,0.56,0.07,0.01
42,1970,82.6,15.6,5.8,1.4,0.3,0.2,0.2,0.83,0.74,0.08,0.01
42,1975,76.5,20.8,6.4,2.3,0.4,0.3,0.3,1.12,0.97,0.13,0.01
42,1980,64.9,19.5,5.9,13.5,2.2,2.2,1.7,2.54,1.7,0.76,0.08
42,1985,57.2,25.6,7.7,14.8,2.1,2.5,2,2.96,2.04,0.83,0.09
42,1990,46.2,31.4,9.8,19.8,2.6,2.8,2.2,3.75,2.59,1.06,0.1
43,1960,86.2,8.7,2.9,3.8,1.6,1.3,1.1,0.94,0.65,0.24,0.05
43,1965,82.4,11.5,3.8,4.7,2,1.2,1,1.13,0.81,0.27,0.04
43,1970,76.9,15.6,5,5.9,2.7,1.5,1.3,1.47,1.07,0.35,0.06
43,1975,74.7,13.8,4.4,9.6,4.7,1.9,1.7,1.85,1.23,0.54,0.07
