"SHCODE","YEA","N0F25","PRIF25","PRICF25","SECF25","SECCF25","HIGHF25","HIGHCF25","TYRF25","PYRF25","SYRF25","HYRF25"
1,1960,84.1,13.9,4,1.8,0.6,0.2,0.1,0.73,0.65,0.08,0.01
1,1965,84.4,13.2,4.3,2.2,0.8,0.2,0.1,0.77,0.67,0.1,0.01
1,1970,95.9,3.3,1.1,0.7,0.3,0.1,0.1,0.22,0.18,0.04,0
1,1975,90.9,7.6,2.6,1.3,0.6,0.2,0.1,0.48,0.4,0.07,0.01
1,1980,83.7,13.8,4.7,2,1,0.4,0.3,0.84,0.7,0.12,0.01
1,1985,77.2,18.2,6.3,3.8,1.9,0.9,0.5,1.27,1.01,0.23,0.03
1,1990,68.9,22.6,7.8,6.9,3.5,1.6,1,1.9,1.42,0.43,0.05
3,1960,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.9,0.3,0.1,0.1,1.79769313486232e+308,1.79769313486232e+308,0.04,0
3,1965,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.8,0.2,0.1,0.1,1.79769313486232e+308,1.79769313486232e+308,0.04,0
3,1970,98.7,0.5,0.1,0.9,0.3,0.1,0.1,0.13,0.09,0.04,0
3,1975,96.7,2.2,0.6,1.1,0.3,0.1,0.1,0.23,0.18,0.05,0
3,1980,94.3,4.4,1.2,1.3,0.4,0.1,0.1,0.36,0.3,0.06,0
3,1985,91.5,6.6,1.9,1.7,0.4,0.2,0.2,0.51,0.43,0.08,0.01
3,1990,88,9.3,2.6,2.5,0.4,0.3,0.3,0.73,0.61,0.11,0.01
4,1960,68.3,29.4,2.3,2.1,0.5,0.1,0.1,1.35,1.26,0.08,0
4,1965,71.7,26.4,1.8,1.7,0.4,0.1,0.1,1.18,1.11,0.06,0
4,1970,67.9,30,1.5,1.7,0.4,0.4,0.3,1.34,1.25,0.08,0.01
4,1975,69.7,28.3,3.9,1.8,0.5,0.3,0.2,1.36,1.27,0.08,0.01
4,1980,51.4,45,8.7,3.3,0.8,0.2,0.1,2.26,2.12,0.13,0.01
4,1985,51.7,42.9,3.4,5,0.9,0.3,0.3,2.19,1.99,0.18,0.01
4,1990,48.6,43.5,1.4,7.2,1,0.5,0.4,2.4,2.12,0.26,0.02
7,1960,86.5,11.3,3.2,1.9,0.5,0.1,0.1,0.66,0.56,0.1,0
7,1965,87.9,10.2,2.9,1.7,0.5,0.1,0.1,0.59,0.5,0.09,0
7,1970,87.6,10.6,3,1.5,0.4,0.1,0.1,0.59,0.51,0.08,0
7,1975,84.3,13.9,3.9,1.6,0.5,0.1,0.1,0.72,0.64,0.08,0
7,1980,77.4,20.4,5.7,2,0.6,0.2,0.1,1.02,0.91,0.11,0.01
7,1985,71.6,25.4,7.2,2.8,0.8,0.2,0.1,1.31,1.16,0.15,0.01
7,1990,65,30.4,8.6,4.3,1.2,0.3,0.2,1.67,1.44,0.22,0.01
9,1960,98.7,0.9,0.3,0.3,0.1,0.2,0.1,0.1,0.07,0.03,0.01
9,1965,98.6,1.1,0.3,0.3,0.1,0.1,0.1,0.1,0.07,0.02,0.01
9,1970,98.2,1.5,0.4,0.3,0.1,0.1,0.1,0.11,0.08,0.02,0
9,1975,97.1,2.5,0.7,0.4,0.1,0.1,0.1,0.16,0.13,0.03,0
9,1980,94,5.3,1.5,0.7,0.2,0.1,0.1,0.29,0.25,0.04,0
9,1985,89.1,9.8,2.8,1.1,0.3,0.1,0.1,0.51,0.45,0.06,0
9,1990,84.8,13,3.7,2.1,0.6,0.1,0.1,0.75,0.63,0.11,0
12,1960,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,9.6,2.8,1.8,1.3,1.79769313486232e+308,1.79769313486232e+308,0.59,0.06
12,1965,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,8,2.3,1.5,1.1,1.79769313486232e+308,1.79769313486232e+308,0.5,0.05
12,1970,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,7,2,1.3,1,1.79769313486232e+308,1.79769313486232e+308,0.43,0.04
12,1975,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,6.4,1.9,1.1,0.8,1.79769313486232e+308,1.79769313486232e+308,0.39,0.04
12,1980,78.3,13.8,3.9,7,2,1,0.7,1.45,1.01,0.41,0.03
12,1985,72.2,15.4,4.3,11.2,3.2,1.1,0.8,1.99,1.33,0.62,0.04
12,1990,60.8,20.4,5.8,17.3,5,1.3,1,2.89,1.91,0.94,0.05
13,1960,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0
13,1965,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.2,0.2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.01
13,1970,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.6,0.5,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.02
13,1975,92.9,2.6,1,3.1,1.4,1.3,1.1,0.63,0.37,0.21,0.05
13,1980,82.9,9.9,3.7,4.4,2.1,2.8,2.2,1.3,0.84,0.36,0.1
13,1985,78.6,10.3,3.9,9.3,4.3,1.8,1.5,1.67,1.09,0.52,0.07
13,1990,72.2,13,4.9,10.8,5,4,3.3,2.29,1.43,0.72,0.15
16,1960,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.9,0.5,0.2,0.1,1.79769313486232e+308,1.79769313486232e+308,0.12,0.01
16,1965,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.7,0.5,0.2,0.1,1.79769313486232e+308,1.79769313486232e+308,0.11,0.01
16,1970,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.8,0.5,0.1,0.1,1.79769313486232e+308,1.79769313486232e+308,0.11,0
16,1975,97.1,0.7,0.2,2,0.5,0.1,0.1,0.27,0.15,0.12,0
16,1980,95.6,1.9,0.2,2.4,0.4,0.1,0.1,0.34,0.21,0.13,0
16,1985,94.1,3.3,0.2,2.5,0.4,0.1,0.1,0.4,0.26,0.14,0
16,1990,92.8,3.9,0.1,3.2,0.4,0.1,0,0.49,0.32,0.17,0
17,1960,94.1,5.3,1.5,0.3,0.1,0.3,0.2,0.29,0.24,0.04,0.01
17,1965,93.1,6.4,1.8,0.3,0.1,0.2,0.2,0.32,0.28,0.04,0.01
17,1970,88,4.8,1.4,7.1,1.1,0.1,0.1,0.96,0.62,0.34,0
17,1975,85.4,8.4,2.4,6.1,0.7,0.1,0.1,0.98,0.7,0.28,0
17,1980,76.9,17.8,5,5.2,0.5,0.2,0.1,1.25,1,0.24,0.01
17,1985,73.9,20.4,5.8,5.4,0.5,0.3,0.2,1.39,1.12,0.25,0.01
17,1990,70.6,23.5,6.6,5.6,0.4,0.3,0.3,1.54,1.26,0.27,0.01
21,1960,87.8,11,1.3,1.1,0.2,0.2,0.1,0.59,0.52,0.06,0.01
21,1965,88.6,10.3,1.8,1.1,0.1,0.2,0.1,0.57,0.51,0.06,0.01
21,1970,86.7,11.9,3.5,1.2,0.1,0.3,0.2,0.72,0.64,0.07,0.01
21,1975,84.3,14.1,1.7,1.4,0.1,0.3,0.2,0.76,0.67,0.08,0.01
21,1980,73,23,1.1,3.7,0.3,0.3,0.2,1.31,1.12,0.17,0.01
21,1985,69.5,26.9,0.6,3.4,0.2,0.3,0.2,1.38,1.22,0.16,0.01
21,1990,58.9,35.3,0.3,5.4,0.3,0.4,0.3,1.91,1.65,0.25,0.01
22,1960,34.9,64.4,18.1,0.8,0.2,0,0,2.97,2.94,0.03,0
22,1965,34.4,64.7,18.2,0.9,0.3,0,0,3,2.97,0.03,0
22,1970,33.7,65,18.3,1.3,0.4,0,0,3.05,3.01,0.05,0
22,1975,32,66.4,18.7,1.5,0.4,0.1,0.1,3.15,3.09,0.06,0
22,1980,29.1,68.5,19.3,2.2,0.6,0.1,0.1,3.33,3.24,0.09,0.01
22,1985,26.8,69,19.5,3.7,1.1,0.5,0.5,3.57,3.39,0.16,0.02
22,1990,25.7,67.9,19.2,5.5,1.6,0.8,0.8,3.76,3.49,0.24,0.03
23,1960,96.5,2.2,1.4,0.8,0.3,0.5,0.4,0.27,0.19,0.06,0.02
23,1965,95.5,3.3,0.5,0.8,0.3,0.4,0.3,0.26,0.19,0.06,0.02
23,1970,94,4.8,1,0.8,0.4,0.4,0.3,0.32,0.24,0.06,0.01
23,1975,94.3,1.6,0.5,3.2,1.8,0.8,0.6,0.53,0.3,0.2,0.03
23,1980,91.7,4.3,0.5,3.1,1.2,0.8,0.6,0.59,0.38,0.18,0.03
23,1985,87.8,7.6,0.4,3.7,1,0.9,0.7,0.74,0.51,0.2,0.03
23,1990,83.2,10.7,0.2,5.1,1,1,0.7,0.96,0.69,0.24,0.03
25,1960,78.6,21.4,1.8,0.1,0,0,0,0.94,0.93,0,0
25,1965,78.7,21.3,1.7,0.1,0,0,0,0.93,0.93,0,0
25,1970,79.1,20.9,1.5,0.1,0,0,0,0.91,0.9,0,0
25,1975,68.8,30.3,1.6,0.9,0.4,0.1,0.1,1.4,1.36,0.04,0
25,1980,70.2,28.9,3.3,0.8,0.3,0.1,0.1,1.4,1.36,0.03,0
25,1985,71.5,26.4,3.7,2,0.8,0,0,1.43,1.36,0.07,0
