"SHCODE","YEAR","N015","PRI15","PRIC15","SEC15","SECC15","HIGH15","HIGHC15","TYR15","PYR15","SYR15","HYR15"
1,1960,80,17.1,4.9,2.6,0.5,0.3,0.2,0.94,0.83,0.1,0.01
1,1965,81.9,13.7,4.4,3.9,1.2,0.4,0.2,0.98,0.8,0.17,0.01
1,1970,73.7,19.2,6.4,6.7,2.3,0.3,0,1.47,1.19,0.27,0.01
1,1975,66.5,24.3,8.3,8.4,2.5,0.8,0.2,1.89,1.53,0.35,0.02
1,1980,57.6,29.1,10,11.7,3,1.6,0.4,2.51,1.97,0.5,0.04
1,1985,49.6,30.5,10.5,17.2,4.3,2.7,0.9,3.24,2.42,0.75,0.07
1,1990,42.3,31,10.7,22.5,6.5,4.2,1.4,4.03,2.85,1.07,0.11
3,1960,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.3,0.3,0.3,0.2,1.79769313486232e+308,1.79769313486232e+308,0.06,0.01
3,1965,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.6,0.3,0.2,0.2,1.79769313486232e+308,1.79769313486232e+308,0.07,0.01
3,1970,92.5,5.3,1.2,2.2,0.4,0,0,0.46,0.38,0.08,0
3,1975,88.8,7.9,1.8,3.3,0.5,0,0,0.69,0.57,0.12,0
3,1980,83.6,10.7,2.5,5.4,1.6,0.3,0,1.09,0.86,0.23,0.01
3,1985,77.2,15.7,3.7,6.4,1.1,0.7,0.2,1.45,1.17,0.26,0.02
3,1990,71.8,20.4,4.7,6.8,1.1,1,0.4,1.75,1.43,0.3,0.03
4,1960,65.3,31.6,8,2.9,0.7,0.2,0.1,1.72,1.6,0.11,0.01
4,1965,66.2,30.8,6.3,2.7,0.5,0.1,0.1,1.61,1.5,0.1,0
4,1970,61.2,33.9,6.8,4.3,0.8,0.5,0.4,1.95,1.76,0.17,0.02
4,1975,58.8,35,10,5.7,1.1,0.5,0.3,2.24,2.01,0.22,0.02
4,1980,45.8,44.6,15.2,9.3,2.3,0.4,0.1,3.12,2.77,0.34,0.01
4,1985,41.7,46.2,9.9,11.4,1.7,0.7,0.2,3.24,2.81,0.41,0.02
4,1990,35.8,47.8,10,15.3,1.7,1.1,0.4,3.75,3.17,0.55,0.03
7,1960,71.7,18.5,4.3,9.7,2.6,0,0,1.74,1.27,0.47,0
7,1965,69.1,22.1,5.1,8.7,2.2,0.1,0,1.77,1.34,0.42,0
7,1970,63.6,28,6.5,8.2,2,0.1,0,1.94,1.54,0.4,0
7,1975,59,32.2,7.5,8.5,1.8,0.3,0.1,2.14,1.72,0.42,0.01
7,1980,54,36.1,8.4,9.4,1.9,0.5,0.2,2.41,1.93,0.47,0.01
7,1985,48.6,40,9.3,10.7,2,0.8,0.3,2.72,2.16,0.54,0.02
7,1990,43.4,43.2,10,12.8,2.4,0.6,0.4,3.05,2.4,0.63,0.02
9,1960,92.2,4,0.9,3.6,1,0.2,0.1,0.57,0.37,0.19,0.01
9,1965,90.3,6.2,1.4,3.4,0.8,0.2,0.1,0.61,0.44,0.17,0.01
9,1970,86,10.4,2.4,3.4,0.8,0.1,0.1,0.78,0.6,0.17,0
9,1975,80.1,15.9,3.7,3.9,0.8,0.2,0.1,1.03,0.83,0.19,0.01
9,1980,75.5,19.3,4.5,5,0.9,0.3,0.1,1.28,1.03,0.24,0.01
9,1985,70,23.9,5.5,5.7,1.1,0.4,0.2,1.55,1.25,0.29,0.01
9,1990,64.5,28.8,6.7,6.2,1.2,0.6,0.3,1.81,1.47,0.32,0.02
12,1960,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2.6,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.09
12,1965,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2.2,1.6,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.08
12,1970,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.07
12,1975,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.9,1.1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.06
12,1980,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.7,0.7,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.05
12,1985,41.9,20.7,5.6,35,7,2.5,1.1,4.9,3.04,1.79,0.07
12,1990,39.6,21.3,5.8,36.2,7.6,2.9,1.6,5.13,3.16,1.88,0.09
13,1960,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.6,0.1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.01
13,1965,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.2,0.3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.03
13,1970,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.9,0.3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.04
13,1975,78.3,11.3,3.8,7.8,0.6,2.6,0.4,1.55,1.08,0.41,0.06
