"SHCODE","YEAR","N0F15","PRIF15","PRICF15","SECF15","SECCF15","HIGHF15","HIGHCF15","TYRF15","PYRF15","SYRF15","HYRF15"
1,1960,84,13.7,4,2.1,0.4,0.2,0.1,0.74,0.67,0.07,0
1,1965,81.1,16.1,5.2,2.6,0.6,0.2,0.1,0.9,0.8,0.1,0.01
1,1970,87.4,8.8,3,3.6,1.1,0.1,0,0.72,0.58,0.14,0
1,1975,80.6,13.8,4.7,5.2,1.3,0.3,0.1,1.08,0.89,0.19,0.01
1,1980,71.9,18.9,6.5,8.5,1.8,0.6,0.1,1.63,1.31,0.31,0.02
1,1985,63.5,21.7,7.5,13.6,3,1.2,0.3,2.3,1.76,0.51,0.03
1,1990,55.4,23.7,8.2,18.9,5.1,2,0.6,3.03,2.21,0.77,0.05
3,1960,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,0.5,0,0,1.79769313486232e+308,1.79769313486232e+308,0.08,0
3,1965,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,0.5,0,0,1.79769313486232e+308,1.79769313486232e+308,0.07,0
3,1970,97.1,1,0.3,2.1,0.5,0,0,0.27,0.19,0.08,0
3,1975,94.1,3.6,1,2.4,0.5,0,0,0.41,0.33,0.09,0
3,1980,90.4,6.6,1.9,3,0.8,0.1,0,0.63,0.51,0.12,0
3,1985,86.5,9.6,2.7,3.8,0.5,0.2,0.1,0.86,0.71,0.14,0
3,1990,82.6,13.2,3.7,4,0.5,0.3,0.1,1.05,0.89,0.15,0.01
4,1960,60.4,37.2,2.9,2.2,0.5,0.1,0.1,1.64,1.56,0.08,0
4,1965,63.5,34.2,2.4,2.1,0.4,0.1,0.1,1.51,1.43,0.07,0
4,1970,57.7,38.3,6.5,3.7,0.6,0.4,0.3,2,1.85,0.14,0.01
4,1975,56.7,37.7,5.2,5.2,0.8,0.4,0.2,2.1,1.89,0.19,0.01
4,1980,42.2,48.9,15.9,8.7,1.8,0.2,0,3.2,2.89,0.31,0
4,1985,37.6,50.4,3.9,11.6,1.2,0.3,0.1,3.13,2.74,0.39,0.01
4,1990,32,51.4,1.7,15.8,1.3,0.7,0.2,3.57,3.01,0.53,0.02
7,1960,84.5,10.2,2.9,5.2,1.5,0.1,0,0.96,0.71,0.26,0
7,1965,82,13.2,3.7,4.7,1.3,0,0,1.02,0.79,0.23,0
7,1970,76.1,19.1,5.4,4.6,1.1,0.1,0,1.24,1.01,0.22,0
7,1975,71,23.9,6.7,4.9,1.1,0.1,0,1.46,1.22,0.24,0
7,1980,65.1,28.8,8.1,5.9,1.2,0.2,0.1,1.75,1.47,0.28,0
